key,dtype,size,value,4-sample-spread,class
Ts0h,flt ,4,47.022483825683594,1.04,responsive
Ts0i,flt ,4,47.71875,0.69,responsive
Ts1P,flt ,4,26.6875,0.19,responsive
Tsx0,flt ,4,47.741050720214844,0.88,responsive
Tsx1,flt ,4,50.3125,0.94,responsive
Tz11,flt ,4,0.0,,
Tz12,flt ,4,0.0,,
Tz13,flt ,4,0.0,,
Tz14,flt ,4,0.0,,
Tz15,flt ,4,0.0,,
Tz16,flt ,4,0.0,,
Tz17,flt ,4,0.0,,
Tz18,flt ,4,0.0,,
Tz1j,flt ,4,0.0,,
